customerid,recency,frequency,monetary_value,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Persona
12388,16.0,6,2780.66,4,4,4,444,12,Champions
12390,80.0,1,549.84,2,1,2,212,5,Typical Customers
12391,22.0,1,460.89,3,1,2,312,6,New Customers
12393,72.0,4,1582.6,2,3,3,233,8,At Risk
12394,64.0,2,1272.48,2,2,3,223,7,Big Spenders
12395,19.0,12,3018.63,3,4,4,344,11,Champions
12397,36.0,2,2409.9,3,2,4,324,9,Big Spenders
12398,46.0,1,1635.66,3,1,3,313,7,Big Spenders
12399,119.0,4,1108.65,2,3,3,233,8,At Risk
12401,303.0,1,84.3,1,1,1,111,3,Lost Customers
12402,323.0,1,225.6,1,1,1,111,3,Lost Customers
12403,50.0,1,427.7,3,1,2,312,6,New Customers
12405,149.0,1,1710.39,1,1,4,114,6,Big Spenders
12406,22.0,2,3415.3,3,2,4,324,9,Big Spenders
12407,50.0,5,1708.12,3,3,4,334,10,Champions
12408,33.0,5,2888.55,3,3,4,334,10,Champions
12409,79.0,3,11072.67,2,3,4,234,9,At Risk
12410,309.0,2,693.33,1,2,3,123,6,Big Spenders
12412,75.0,3,1226.88,2,3,3,233,8,At Risk
12413,67.0,3,758.1,2,3,3,233,8,At Risk
12414,217.0,3,562.41,1,3,2,132,6,At Risk
12415,24.0,21,124914.53,3,4,4,344,11,Champions
12417,3.0,9,3649.1,4,4,4,444,12,Champions
12418,113.0,1,668.58,2,1,2,212,5,Typical Customers
12420,64.0,1,600.39,2,1,2,212,5,Typical Customers
12421,16.0,4,807.04,4,3,3,433,10,Champions
12422,96.0,3,803.56,2,3,3,233,8,At Risk
12423,1.0,8,1859.31,4,4,4,444,12,Champions
12424,163.0,2,1760.96,1,2,4,124,7,Big Spenders
12425,78.0,1,777.2,2,1,3,213,6,Big Spenders
12426,195.0,1,582.73,1,1,2,112,4,Lost Customers
12427,22.0,3,825.8,3,3,3,333,9,Champions
12428,26.0,9,7956.46,3,4,4,344,11,Champions
12429,9.0,4,3750.4,4,3,4,434,11,Champions
12430,43.0,1,256.4,3,1,1,311,5,New Customers
12431,36.0,15,6487.45,3,4,4,344,11,Champions
12432,43.0,5,5059.32,3,3,4,334,10,Champions
12433,1.0,7,13375.87,4,4,4,444,12,Champions
12434,85.0,2,806.14,2,2,3,223,7,Big Spenders
12435,80.0,2,7829.89,2,2,4,224,8,Big Spenders
12436,100.0,1,509.01,2,1,2,212,5,Typical Customers
12437,2.0,18,4951.41,4,4,4,444,12,Champions
12438,14.0,2,2906.85,4,2,4,424,10,Big Spenders
12441,367.0,1,173.55,1,1,1,111,3,Lost Customers
12442,3.0,1,172.06,4,1,1,411,6,New Customers
12444,21.0,5,5005.46,3,3,4,334,10,Champions
12445,22.0,1,133.4,3,1,1,311,5,New Customers
12446,58.0,1,1002.31,2,1,3,213,6,Big Spenders
12447,243.0,1,476.49,1,1,2,112,4,Lost Customers
12448,44.0,1,449.45,3,1,2,312,6,New Customers
12449,22.0,4,4067.29,3,3,4,334,10,Champions
12450,156.0,2,197.88,1,2,1,121,4,Typical Customers
12451,11.0,5,9035.52,4,3,4,434,11,Champions
12452,17.0,2,430.57,4,2,2,422,8,New Customers
12453,134.0,1,707.09,2,1,3,213,6,Big Spenders
12454,56.0,1,3528.34,2,1,4,214,7,Big Spenders
12455,73.0,6,2466.86,2,4,4,244,10,At Risk
12456,44.0,3,3181.04,3,3,4,334,10,Champions
12457,66.0,7,2363.23,2,4,4,244,10,At Risk
12458,71.0,2,947.4,2,2,3,223,7,Big Spenders
12461,94.0,2,826.88,2,2,3,223,7,Big Spenders
12462,19.0,2,1189.59,3,2,3,323,8,Big Spenders
12463,53.0,4,1344.78,2,3,3,233,8,At Risk
12464,10.0,8,1212.05,4,4,3,443,11,Champions
12465,17.0,2,742.19,4,2,3,423,9,Big Spenders
12468,188.0,2,729.54,1,2,3,123,6,Big Spenders
12471,2.0,30,19824.05,4,4,4,444,12,Champions
12472,32.0,7,6572.11,3,4,4,344,11,Champions
12473,29.0,5,3938.55,3,3,4,334,10,Champions
12474,17.0,18,7375.79,4,4,4,444,12,Champions
12475,54.0,1,723.38,2,1,3,213,6,Big Spenders
12476,16.0,11,6816.42,4,4,4,444,12,Champions
12477,23.0,6,13219.74,3,4,4,344,11,Champions
12478,4.0,1,680.99,4,1,3,413,8,Big Spenders
12479,11.0,1,527.2,4,1,2,412,7,New Customers
12480,28.0,4,3281.63,3,3,4,334,10,Champions
12481,23.0,10,5596.32,3,4,4,344,11,Champions
12483,17.0,8,2484.98,4,4,4,444,12,Champions
12484,33.0,6,4541.72,3,4,4,344,11,Champions
12488,10.0,3,1298.66,4,3,3,433,10,Champions
12489,336.0,1,334.93,1,1,2,112,4,Lost Customers
12490,5.0,10,5417.93,4,4,4,444,12,Champions
12491,39.0,1,460.4,3,1,2,312,6,New Customers
12492,63.0,2,263.21,2,2,1,221,5,Typical Customers
12493,166.0,2,433.74,1,2,2,122,5,Typical Customers
12494,16.0,7,1246.1,4,4,3,443,11,Champions
12497,82.0,1,1043.1,2,1,3,213,6,Big Spenders
12498,21.0,3,403.7,3,3,2,332,8,Champions
12500,23.0,11,4257.82,3,4,4,344,11,Champions
12501,337.0,1,2169.39,1,1,4,114,6,Big Spenders
12502,96.0,5,3723.87,2,3,4,234,9,At Risk
12504,18.0,2,482.05,4,2,2,422,8,New Customers
12506,233.0,1,73.5,1,1,1,111,3,Lost Customers
12507,134.0,3,1304.81,2,3,3,233,8,At Risk
12508,26.0,2,398.27,3,2,2,322,7,New Customers
12509,284.0,1,176.5,1,1,1,111,3,Lost Customers
12510,143.0,2,982.57,1,2,3,123,6,Big Spenders
12512,66.0,2,138.03,2,2,1,221,5,Typical Customers
12513,113.0,1,612.29,2,1,2,212,5,Typical Customers
12514,267.0,1,1017.68,1,1,3,113,5,Big Spenders
12515,353.0,1,383.7,1,1,2,112,4,Lost Customers
12516,78.0,2,1312.06,2,2,3,223,7,Big Spenders
12517,28.0,5,2502.84,3,3,4,334,10,Champions
12518,1.0,5,2056.89,4,3,4,434,11,Champions
12519,64.0,1,340.84,2,1,2,212,5,Typical Customers
12520,79.0,5,2634.26,2,3,4,234,9,At Risk
12521,143.0,1,599.68,1,1,2,112,4,Lost Customers
12522,39.0,2,192.72,3,2,1,321,6,New Customers
12523,19.0,11,1789.77,3,4,4,344,11,Champions
12524,9.0,8,4485.72,4,4,4,444,12,Champions
12526,1.0,3,1316.66,4,3,3,433,10,Champions
12527,82.0,3,348.71,2,3,2,232,7,At Risk
12528,9.0,6,1933.48,4,4,4,444,12,Champions
12530,60.0,4,1662.28,2,3,4,234,9,At Risk
12531,15.0,1,125.22,4,1,1,411,6,New Customers
12532,30.0,1,349.83,3,1,2,312,6,New Customers
12534,131.0,1,1089.18,2,1,3,213,6,Big Spenders
12535,92.0,2,716.35,2,2,3,223,7,Big Spenders
12536,43.0,3,12601.83,3,3,4,334,10,Champions
12538,29.0,1,363.95,3,1,2,312,6,New Customers
12539,22.0,4,5568.35,3,3,4,334,10,Champions
12540,20.0,17,13400.24,3,4,4,344,11,Champions
12541,30.0,3,981.18,3,3,3,333,9,Champions
12544,36.0,1,372.7,3,1,2,312,6,New Customers
12545,75.0,2,1000.39,2,2,3,223,7,Big Spenders
12546,47.0,2,1161.5,3,2,3,323,8,Big Spenders
12547,198.0,2,207.8,1,2,1,121,4,Typical Customers
12548,166.0,1,95.2,1,1,1,111,3,Lost Customers
12550,79.0,1,964.83,2,1,3,213,6,Big Spenders
12551,358.0,1,168.0,1,1,1,111,3,Lost Customers
12552,39.0,2,437.82,3,2,2,322,7,New Customers
12553,8.0,10,3692.28,4,4,4,444,12,Champions
12556,50.0,2,603.71,3,2,2,322,7,New Customers
12557,16.0,5,11990.96,4,3,4,434,11,Champions
12558,8.0,1,269.96,4,1,1,411,6,New Customers
12559,311.0,2,561.71,1,2,2,122,5,Typical Customers
12560,5.0,3,2134.01,4,3,4,434,11,Champions
12561,303.0,1,238.85,1,1,1,111,3,Lost Customers
12562,8.0,7,3781.74,4,4,4,444,12,Champions
12564,261.0,1,456.9,1,1,2,112,4,Lost Customers
12565,289.0,1,145.92,1,1,1,111,3,Lost Customers
12566,86.0,1,351.65,2,1,2,212,5,Typical Customers
12567,23.0,10,9401.28,3,4,4,344,11,Champions
12569,2.0,32,4124.69,4,4,4,444,12,Champions
12571,40.0,2,519.61,3,2,2,322,7,New Customers
12572,9.0,2,1020.42,4,2,3,423,9,Big Spenders
12573,227.0,1,160.54,1,1,1,111,3,Lost Customers
12574,316.0,1,218.45,1,1,1,111,3,Lost Customers
12576,36.0,5,1315.83,3,3,3,333,9,Champions
12577,35.0,3,657.8,3,3,2,332,8,Champions
12578,21.0,2,2794.51,3,2,4,324,9,Big Spenders
12579,78.0,1,440.42,2,1,2,212,5,Typical Customers
12580,247.0,1,415.7,1,1,2,112,4,Lost Customers
12581,40.0,1,197.71,3,1,1,311,5,New Customers
12582,239.0,2,511.36,1,2,2,122,5,Typical Customers
12583,3.0,15,7281.38,4,4,4,444,12,Champions
12584,4.0,9,2338.15,4,4,4,444,12,Champions
12585,234.0,2,2040.1,1,2,4,124,7,Big Spenders
12586,17.0,1,196.94,4,1,1,411,6,New Customers
12587,8.0,1,144.0,4,1,1,411,6,New Customers
12588,39.0,1,214.9,3,1,1,311,5,New Customers
12589,29.0,2,646.68,3,2,2,322,7,New Customers
12590,211.0,2,9864.26,1,2,4,124,7,Big Spenders
12591,317.0,1,452.85,1,1,2,112,4,Lost Customers
12592,92.0,2,437.6,2,2,2,222,6,Typical Customers
12593,109.0,3,418.1,2,3,2,232,7,At Risk
12594,38.0,10,3338.22,3,4,4,344,11,Champions
12596,51.0,2,618.27,3,2,2,322,7,New Customers
12597,19.0,4,3811.22,3,3,4,334,10,Champions
12598,10.0,8,3023.08,4,4,4,444,12,Champions
12599,29.0,7,1032.58,3,4,3,343,10,Champions
12600,29.0,10,2599.04,3,4,4,344,11,Champions
12601,190.0,5,577.06,1,3,2,132,6,At Risk
12602,59.0,1,153.12,2,1,1,211,4,Typical Customers
12603,22.0,1,739.2,3,1,3,313,7,Big Spenders
12604,79.0,2,254.18,2,2,1,221,5,Typical Customers
12607,60.0,1,1579.51,2,1,3,213,6,Big Spenders
12609,78.0,3,1126.85,2,3,3,233,8,At Risk
12610,23.0,5,2099.54,3,3,4,334,10,Champions
12611,52.0,1,1193.32,2,1,3,213,6,Big Spenders
12612,74.0,1,704.04,2,1,3,213,6,Big Spenders
12613,57.0,5,3344.38,2,3,4,234,9,At Risk
12614,278.0,1,315.6,1,1,2,112,4,Lost Customers
12615,2.0,4,2291.19,4,3,4,434,11,Champions
12616,95.0,2,713.3,2,2,3,223,7,Big Spenders
12617,29.0,1,355.53,3,1,2,312,6,New Customers
12618,22.0,1,177.31,3,1,1,311,5,New Customers
12619,16.0,9,3641.24,4,4,4,444,12,Champions
12620,15.0,3,1339.41,4,3,3,433,10,Champions
12621,2.0,20,13689.67,4,4,4,444,12,Champions
12622,232.0,1,180.1,1,1,1,111,3,Lost Customers
12623,276.0,1,305.1,1,1,1,111,3,Lost Customers
12624,106.0,2,641.13,2,2,2,222,6,Typical Customers
12625,212.0,2,2683.82,1,2,4,124,7,Big Spenders
12626,23.0,9,6620.48,3,4,4,344,11,Champions
12627,11.0,7,4478.53,4,4,4,444,12,Champions
12628,4.0,3,786.46,4,3,3,433,10,Champions
12630,10.0,2,1270.88,4,2,3,423,9,Big Spenders
12631,57.0,1,640.5,2,1,2,212,5,Typical Customers
12633,59.0,4,2163.98,2,3,4,234,9,At Risk
12635,90.0,2,1689.18,2,2,4,224,8,Big Spenders
12637,67.0,8,6021.9,2,4,4,244,10,At Risk
12638,33.0,1,671.69,3,1,2,312,6,New Customers
12639,239.0,1,486.1,1,1,2,112,4,Lost Customers
12640,24.0,3,1174.58,3,3,3,333,9,Champions
12641,115.0,1,185.9,2,1,1,211,4,Typical Customers
12642,25.0,3,1013.26,3,3,3,333,9,Champions
12643,128.0,6,3344.64,2,4,4,244,10,At Risk
12644,130.0,1,477.91,2,1,2,212,5,Typical Customers
12645,34.0,4,1775.18,3,3,4,334,10,Champions
12646,5.0,2,1346.97,4,2,3,423,9,Big Spenders
12647,22.0,12,3722.82,3,4,4,344,11,Champions
12648,155.0,1,318.05,1,1,2,112,4,Lost Customers
12649,107.0,3,623.51,2,3,2,232,7,At Risk
12650,3.0,1,314.44,4,1,2,412,7,New Customers
12651,335.0,1,114.0,1,1,1,111,3,Lost Customers
12652,331.0,1,919.98,1,1,3,113,5,Big Spenders
12653,149.0,2,2209.85,1,2,4,124,7,Big Spenders
12654,11.0,5,601.98,4,3,2,432,9,Champions
12656,17.0,5,4051.17,4,3,4,434,11,Champions
12657,11.0,4,1643.18,4,3,3,433,10,Champions
12658,19.0,1,686.05,3,1,3,313,7,Big Spenders
12659,30.0,1,91.68,3,1,1,311,5,New Customers
12660,11.0,1,245.1,4,1,1,411,6,New Customers
12662,1.0,11,3849.78,4,4,4,444,12,Champions
12664,8.0,9,4881.88,4,4,4,444,12,Champions
12665,325.0,1,63.0,1,1,1,111,3,Lost Customers
12667,58.0,1,620.13,2,1,2,212,5,Typical Customers
12668,12.0,4,3807.15,4,3,4,434,11,Champions
12669,151.0,3,2744.03,1,3,4,134,8,At Risk
12670,10.0,5,2996.05,4,3,4,434,11,Champions
12672,330.0,1,225.9,1,1,1,111,3,Lost Customers
12673,5.0,2,610.52,4,2,2,422,8,New Customers
12674,39.0,4,1970.6,3,3,4,334,10,Champions
12676,25.0,6,1331.39,3,4,3,343,10,Champions
12678,42.0,12,17628.46,3,4,4,344,11,Champions
12679,59.0,4,1113.02,2,3,3,233,8,At Risk
12680,1.0,4,862.81,4,3,3,433,10,Champions
12681,15.0,22,13787.54,4,4,4,444,12,Champions
12682,4.0,31,12288.22,4,4,4,444,12,Champions
12683,4.0,15,8476.57,4,4,4,444,12,Champions
12684,8.0,7,2283.63,4,4,4,444,12,Champions
12685,28.0,6,2863.08,3,4,4,344,11,Champions
12686,372.0,1,89.14,1,1,1,111,3,Lost Customers
12688,114.0,1,4873.81,2,1,4,214,7,Big Spenders
12689,26.0,2,1247.61,3,2,3,323,8,Big Spenders
12690,206.0,1,389.01,1,1,2,112,4,Lost Customers
12691,28.0,6,1035.8,3,4,3,343,10,Champions
12693,127.0,4,855.91,2,3,3,233,8,At Risk
12694,70.0,2,869.67,2,2,3,223,7,Big Spenders
12695,7.0,4,582.1,4,3,2,432,9,Champions
12697,29.0,3,957.59,3,3,3,333,9,Champions
12700,8.0,4,4939.99,4,3,4,434,11,Champions
12701,80.0,2,797.71,2,2,3,223,7,Big Spenders
12702,20.0,1,219.0,3,1,1,311,5,New Customers
12703,71.0,1,283.55,2,1,1,211,4,Typical Customers
12704,7.0,8,2340.84,4,4,4,444,12,Champions
12705,15.0,9,6868.29,4,4,4,444,12,Champions
12707,292.0,1,603.42,1,1,2,112,4,Lost Customers
12708,30.0,10,2712.91,3,4,4,344,11,Champions
12709,15.0,15,9736.52,4,4,4,444,12,Champions
12710,97.0,3,1149.02,2,3,3,233,8,At Risk
12712,29.0,13,4396.13,3,4,4,344,11,Champions
12713,1.0,1,848.55,4,1,3,413,8,Big Spenders
12714,9.0,5,4708.86,4,3,4,434,11,Champions
12715,106.0,1,353.86,2,1,2,212,5,Typical Customers
12716,4.0,2,1053.49,4,2,3,423,9,Big Spenders
12717,151.0,2,1030.98,1,2,3,123,6,Big Spenders
12718,71.0,1,238.25,2,1,1,211,4,Typical Customers
12719,5.0,2,644.95,4,2,2,422,8,New Customers
12720,3.0,25,5781.73,4,4,4,444,12,Champions
12721,32.0,6,2656.13,3,4,4,344,11,Champions
12722,85.0,4,997.63,2,3,3,233,8,At Risk
12723,4.0,5,725.07,4,3,3,433,10,Champions
12724,5.0,4,1031.41,4,3,3,433,10,Champions
12725,371.0,1,427.8,1,1,2,112,4,Lost Customers
12726,28.0,7,2609.1,3,4,4,344,11,Champions
12727,11.0,7,3980.7,4,4,4,444,12,Champions
12728,71.0,4,836.33,2,3,3,233,8,At Risk
12729,114.0,1,453.01,2,1,2,212,5,Typical Customers
12731,24.0,12,18895.91,3,4,4,344,11,Champions
12732,180.0,1,236.26,1,1,1,111,3,Lost Customers
12733,234.0,1,383.95,1,1,2,112,4,Lost Customers
12734,353.0,1,110.4,1,1,1,111,3,Lost Customers
12735,315.0,2,779.57,1,2,3,123,6,Big Spenders
12736,333.0,1,234.0,1,1,1,111,3,Lost Customers
12738,372.0,1,155.35,1,1,1,111,3,Lost Customers
12739,78.0,2,1013.04,2,2,3,223,7,Big Spenders
12740,64.0,1,427.6,2,1,2,212,5,Typical Customers
12743,134.0,2,546.43,2,2,2,222,6,Typical Customers
12744,52.0,7,21279.29,2,4,4,244,10,At Risk
12747,2.0,11,4196.01,4,4,4,444,12,Champions
12748,1.0,209,33719.73,4,4,4,444,12,Champions
12749,4.0,5,4090.88,4,3,4,434,11,Champions
12750,129.0,1,275.88,2,1,1,211,4,Typical Customers
12752,81.0,1,4366.78,2,1,4,214,7,Big Spenders
12753,23.0,6,21429.39,3,4,4,344,11,Champions
12754,236.0,3,3010.74,1,3,4,134,8,At Risk
12755,281.0,2,3811.95,1,2,4,124,7,Big Spenders
12756,87.0,1,112.08,2,1,1,211,4,Typical Customers
12757,16.0,13,7857.1,4,4,4,444,12,Champions
12758,117.0,2,2791.59,2,2,4,224,8,Big Spenders
12759,52.0,3,1531.44,2,3,3,233,8,At Risk
12762,8.0,2,1898.52,4,2,4,424,10,Big Spenders
12763,138.0,2,494.08,2,2,2,222,6,Typical Customers
12764,317.0,1,1693.88,1,1,4,114,6,Big Spenders
12766,4.0,7,6989.63,4,4,4,444,12,Champions
12769,239.0,1,1143.6,1,1,3,113,5,Big Spenders
12770,211.0,1,1351.45,1,1,3,113,5,Big Spenders
12772,60.0,1,892.47,2,1,3,213,6,Big Spenders
12775,17.0,5,1386.04,4,3,3,433,10,Champions
12778,20.0,6,822.23,3,4,3,343,10,Champions
12779,38.0,8,3981.36,3,4,4,344,11,Champions
12781,64.0,2,826.74,2,2,3,223,7,Big Spenders
12782,5.0,5,2330.92,4,3,4,434,11,Champions
12783,2.0,6,2225.91,4,4,4,444,12,Champions
12784,9.0,2,574.42,4,2,2,422,8,New Customers
12785,364.0,1,311.95,1,1,2,112,4,Lost Customers
12787,10.0,3,463.66,4,3,2,432,9,Champions
12789,65.0,1,91.85,2,1,1,211,4,Typical Customers
12790,192.0,1,324.92,1,1,2,112,4,Lost Customers
12791,374.0,1,192.6,1,1,1,111,3,Lost Customers
12792,257.0,1,400.54,1,1,2,112,4,Lost Customers
12793,335.0,2,545.48,1,2,2,122,5,Typical Customers
12794,53.0,2,860.41,2,2,3,223,7,Big Spenders
12795,19.0,1,430.48,3,1,2,312,6,New Customers
12797,366.0,1,254.03,1,1,1,111,3,Lost Customers
12798,10.0,3,6977.04,4,3,4,434,11,Champions
12802,187.0,1,427.58,1,1,2,112,4,Lost Customers
12808,37.0,3,483.65,3,3,2,332,8,Champions
12809,178.0,1,489.31,1,1,2,112,4,Lost Customers
12811,261.0,3,514.85,1,3,2,132,6,At Risk
12812,45.0,1,229.64,3,1,1,311,5,New Customers
12814,102.0,1,125.92,2,1,1,211,4,Typical Customers
12815,148.0,2,1063.46,1,2,3,123,6,Big Spenders
12816,96.0,2,572.2,2,2,2,222,6,Typical Customers
12817,281.0,1,166.04,1,1,1,111,3,Lost Customers
12818,262.0,1,1542.08,1,1,3,113,5,Big Spenders
12820,3.0,4,942.34,4,3,3,433,10,Champions
12821,214.0,1,92.72,1,1,1,111,3,Lost Customers
12822,71.0,2,948.88,2,2,3,223,7,Big Spenders
12823,75.0,5,1759.5,2,3,4,234,9,At Risk
12824,60.0,1,397.12,2,1,2,212,5,Typical Customers
12826,3.0,7,1474.72,4,4,3,443,11,Champions
12827,6.0,3,430.15,4,3,2,432,9,Champions
12828,3.0,6,1018.71,4,4,3,443,11,Champions
12829,337.0,2,293.0,1,2,1,121,4,Typical Customers
12830,38.0,6,6814.64,3,4,4,344,11,Champions
12831,262.0,1,215.05,1,1,1,111,3,Lost Customers
12832,32.0,2,383.03,3,2,2,322,7,New Customers
12833,145.0,1,417.38,1,1,2,112,4,Lost Customers
12834,283.0,1,312.38,1,1,2,112,4,Lost Customers
12836,59.0,4,2612.86,2,3,4,234,9,At Risk
12837,173.0,1,134.1,1,1,1,111,3,Lost Customers
12838,34.0,2,683.13,3,2,3,323,8,Big Spenders
12839,3.0,14,5591.42,4,4,4,444,12,Champions
12840,144.0,4,2726.77,1,3,4,134,8,At Risk
12841,5.0,25,4022.35,4,4,4,444,12,Champions
12842,70.0,2,1118.99,2,2,3,223,7,Big Spenders
12843,66.0,8,1702.26,2,4,4,244,10,At Risk
12844,29.0,2,325.96,3,2,2,322,7,New Customers
12845,267.0,4,354.09,1,3,2,132,6,At Risk
12847,22.0,1,871.54,3,1,3,313,7,Big Spenders
12849,31.0,2,1050.89,3,2,3,323,8,Big Spenders
12851,97.0,1,135.18,2,1,1,211,4,Typical Customers
12852,295.0,1,311.55,1,1,2,112,4,Lost Customers
12853,135.0,6,1957.1,2,4,4,244,10,At Risk
12854,79.0,3,1324.5,2,3,3,233,8,At Risk
12855,373.0,1,38.1,1,1,1,111,3,Lost Customers
12856,8.0,6,2179.93,4,4,4,444,12,Champions
12857,211.0,2,1106.4,1,2,3,123,6,Big Spenders
12863,52.0,1,521.2,2,1,2,212,5,Typical Customers
12864,138.0,1,147.12,2,1,1,211,4,Typical Customers
12865,26.0,2,1568.23,3,2,3,323,8,Big Spenders
12866,283.0,1,559.12,1,1,2,112,4,Lost Customers
12867,26.0,7,4036.82,3,4,4,344,11,Champions
12868,186.0,6,1607.06,1,4,3,143,8,At Risk
12871,84.0,2,380.64,2,2,2,222,6,Typical Customers
12872,327.0,2,599.97,1,2,2,122,5,Typical Customers
12873,282.0,1,374.0,1,1,2,112,4,Lost Customers
12875,143.0,2,343.23,1,2,2,122,5,Typical Customers
12876,58.0,2,2218.02,2,2,4,224,8,Big Spenders
12877,4.0,12,1535.77,4,4,3,443,11,Champions
12878,236.0,2,854.99,1,2,3,123,6,Big Spenders
12879,45.0,3,573.22,3,3,2,332,8,Champions
12881,276.0,1,298.0,1,1,1,111,3,Lost Customers
12882,9.0,2,1463.04,4,2,3,423,9,Big Spenders
12883,25.0,4,703.47,3,3,3,333,9,Champions
12884,88.0,1,309.05,2,1,2,212,5,Typical Customers
12885,63.0,3,1175.22,2,3,3,233,8,At Risk
12886,68.0,2,1378.4,2,2,3,223,7,Big Spenders
12888,214.0,2,354.12,1,2,2,122,5,Typical Customers
12890,24.0,1,380.47,3,1,2,312,6,New Customers
12891,186.0,3,331.0,1,3,2,132,6,At Risk
12893,31.0,1,188.14,3,1,1,311,5,New Customers
12895,42.0,2,372.8,3,2,2,322,7,New Customers
12897,205.0,2,216.5,1,2,1,121,4,Typical Customers
12901,9.0,28,17654.54,4,4,4,444,12,Champions
12902,265.0,1,138.68,1,1,1,111,3,Lost Customers
12904,18.0,2,509.58,4,2,2,422,8,New Customers
12906,12.0,5,2919.81,4,3,4,434,11,Champions
12908,176.0,2,750.0,1,2,3,123,6,Big Spenders
12909,40.0,5,2178.67,3,3,4,334,10,Champions
12910,23.0,8,3075.04,3,4,4,344,11,Champions
12912,3.0,5,1662.3,4,3,4,434,11,Champions
12913,5.0,5,2483.63,4,4,4,444,12,Champions
12915,149.0,2,363.65,1,2,2,122,5,Typical Customers
12916,139.0,4,3006.15,2,3,4,234,9,At Risk
12917,128.0,1,594.0,2,1,2,212,5,Typical Customers
12919,8.0,6,1335.19,4,4,3,443,11,Champions
12920,17.0,1,164.23,4,1,1,411,6,New Customers
12921,9.0,37,16587.09,4,4,4,444,12,Champions
12922,161.0,1,405.38,1,1,2,112,4,Lost Customers
12923,64.0,1,176.97,2,1,1,211,4,Typical Customers
12924,88.0,4,933.7,2,3,3,233,8,At Risk
12925,5.0,2,694.05,4,2,3,423,9,Big Spenders
12928,35.0,5,2062.7,3,4,4,344,11,Champions
12929,312.0,1,117.85,1,1,1,111,3,Lost Customers
12930,78.0,2,415.8,2,2,2,222,6,Typical Customers
12931,22.0,15,42055.96,3,4,4,344,11,Champions
12933,24.0,3,607.53,3,3,2,332,8,Champions
12935,2.0,7,2160.7,4,4,4,444,12,Champions
12936,17.0,4,1063.9,4,3,3,433,10,Champions
12937,15.0,4,1504.27,4,3,3,433,10,Champions
12938,26.0,1,114.14,3,1,1,311,5,New Customers
12939,64.0,8,11581.8,2,4,4,244,10,At Risk
12940,55.0,2,913.54,2,2,3,223,7,Big Spenders
12942,131.0,3,683.9,2,3,3,233,8,At Risk
12944,36.0,2,604.51,3,2,2,322,7,New Customers
12945,288.0,1,462.95,1,1,2,112,4,Lost Customers
12947,144.0,6,1603.99,1,4,3,143,8,At Risk
12948,16.0,7,2064.95,4,4,4,444,12,Champions
12949,31.0,8,4167.22,3,4,4,344,11,Champions
12950,2.0,3,1843.0,4,3,4,434,11,Champions
12951,9.0,6,1064.07,4,4,3,443,11,Champions
12952,6.0,4,1387.79,4,3,3,433,10,Champions
12953,10.0,1,329.85,4,1,2,412,7,New Customers
12955,1.0,11,4757.16,4,4,4,444,12,Champions
12956,306.0,1,108.07,1,1,1,111,3,Lost Customers
12957,10.0,8,4017.54,4,4,4,444,12,Champions
12962,7.0,2,266.39,4,2,1,421,7,New Customers
12963,8.0,8,1856.63,4,4,4,444,12,Champions
12965,89.0,1,771.91,2,1,3,213,6,Big Spenders
12966,10.0,1,160.18,4,1,1,411,6,New Customers
